permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,route_location_origin,authorizedhighways,route_location_1,route_location_2,route_location_3,route_location_4,route_location_5,route_location_6,route_location_7,route_location_8,route_location_9,route_location_10,route_location_11,route_location_12,route_location_13,route_location_14,route_location_15,route_location_16,route_location_17,route_location_18,route_location_19,route_location_20,route_location_21,route_location_22,route_location_23,route_location_24
e24-000173,2024,01/02/2024,01/08/2024,CAT 321 EXCAVATOR,California,San Bernardino,San Bernardino,"30th st San Bernardino, California",* from 30th st - 018w - to waterman canyon rd exit (old waterman canyon rd n/b off ramp) *,SR-18,waterman canyon rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000398,2024,01/05/2024,01/11/2024,CAT 637 SCRAPER                JOHNSON babyP9,California,Tulare,Visalia,"kansas ave Tulare, California",* from kansas ave - 043n - 198e - to plaza dr/road 80 exit (plaza dr n/b off ramp exit number 102) *,SR-43,SR-198,plaza dr,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000385,2024,01/04/2024,01/10/2024,Mobile Home,California,Woodland,Wilton,"east st Woodland, California",* from east st e/b on ramp - 005s - 050e - to power inn rd/howe ave exit (howe ave s/b off ramp exit number 9) ** from jackson rd - 016e - to dillard rd exit (dillard rd) *,I-5,US-50,power inn rd,SR-16,dillard rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000387,2024,01/04/2024,01/10/2024,Mobile Home,California,Woodland,Wilton,"east st Woodland, California",* from east st e/b on ramp - 005s - 050e - to power inn rd/howe ave exit (howe ave s/b off ramp exit number 9) ** from jackson rd - 016e - to dillard rd exit (dillard rd) *,I-5,US-50,power inn rd,SR-16,dillard rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000391,2024,01/03/2024,01/09/2024,(9AX) CAT D10 DOZER,California,Industry,Boron,"rose hills rd Industry, California",* from rose hills rd w/b on ramp - 605n - to lower azusa rd exit (lower azusa rd e/b off ramp) * from arrow hwy w/b on ramp - 605n - 210e - 015n - 395n - 058w - to borax rd exit (borax rd n/b off ramp exit number 196) *,I-605,lower azusa rd,I-605,SR-210,I-15,US-395,SR-58,borax rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000393,2024,01/03/2024,01/09/2024,SHELTER,California,Santee,San Diego,"magnolia ave Santee, California",* from magnolia ave s/b on ramp - 052w - 015s - to friars rd w/b off ramp (exit #7) *,SR-52,I-15,friars rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000394,2024,01/03/2024,01/09/2024,SHELTER,California,Santee,San Diego,"magnolia ave Santee, California",* from magnolia ave s/b on ramp - 052w - 015s - to friars rd w/b off ramp (exit #7) *,SR-52,I-15,friars rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000185,2024,01/03/2024,01/09/2024,TRACK CRUSHER FT4250,California,Diamond Bar,Corona,"diamond bar blvd Diamond Bar, California",* from diamond bar blvd n/b on ramp - 060e - 071s - 091w - to green river rd exit (green river rd n/b off ramp) *,SR-60,SR-71,SR-91,green river rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000401,2024,01/03/2024,01/09/2024,CAT 637 SCRAPER,California,Menifee,Chula Vista,"clinton keith rd Menifee, California",* from clinton keith rd e/b on ramp - 015s - 805s - to `h` st  west exit ('h' st w/b off ramp exit number 7b) *,I-15,I-805,`h` st,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000186,2024,01/03/2024,01/09/2024,DECK PLATE,California,"South Gate, Ca","Corona, Ca","firestone blvd South Gate, Ca, California",* from firestone blvd e/b on ramp - 710s - 091e - 015s - to weirick rd exit (weirick rd e/b off ramp) *,I-710,SR-91,I-15,weirick rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
