permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,route_location_origin,authorizedhighways,route_location_1,route_location_2,route_location_3,route_location_4,route_location_5,route_location_6,route_location_7,route_location_8,route_location_9,route_location_10,route_location_11,route_location_12,route_location_13,route_location_14,route_location_15,route_location_16,route_location_17,route_location_18,route_location_19,route_location_20,route_location_21,route_location_22,route_location_23,route_location_24
e23-109403,2024,01/01/2024,01/07/2024,1300 POWERSCREEN CRUSHER,California,Fremont,Dixon,"scott creek rd Fremont, California",* from scott creek rd w/b on ramp - 680n - 580e - to hopyard rd exit (dougherty rd n/b off ramp) ** from hopyard rd n/b on ramp - 580w - 680n - 080e - 113s - to industrial way/regency pkwy exit (industrial way) *,I-680,I-580,hopyard rd,I-580,I-680,I-80,SR-113,industrial way,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109402,2024,01/01/2024,01/07/2024,2200 2 DECK POWERSCREEN CRUSHER                                         murray,California,Fremont,Dixon,"scott creek rd Fremont, California",* from scott creek rd w/b on ramp - 680n - 580e - to hopyard rd exit (dougherty rd n/b off ramp) ** from hopyard rd n/b on ramp - 580w - 680n - 080e - 113s - to industrial way/regency pkwy exit (industrial way) *,I-680,I-580,hopyard rd,I-580,I-680,I-80,SR-113,industrial way,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000112,2024,01/02/2024,01/08/2024,TRANE AC UNIT,California,Az Line,3643 Depot Rd Hayward Ca,"az line Az Line, California",* from az line 40 - 040w - 015s - 058w - 223w - 005n - 580w - 238n - 880s - 092w - to eden landing rd exit (clawiter rd n/b off ramp) *,I-40,I-15,SR-58,SR-223,I-5,I-580,SR-238,I-880,SR-92,eden landing rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000134,2024,01/02/2024,01/08/2024,TRANE AC UNIT,California,Az Line,3643 Depot Rd Hayward Ca,"az line Az Line, California",* from az line 40 - 040w - 015s - 058w - 223w - 005n - 580w - 238n - 880s - 092w - to eden landing rd exit (clawiter rd n/b off ramp) *,I-40,I-15,SR-58,SR-223,I-5,I-580,SR-238,I-880,SR-92,eden landing rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000074,2024,01/04/2024,01/10/2024,Watson 7 Drill Rig,California,Buena Park,Mission Viejo,"valley view st Buena Park, California",* from valley view st n/b on ramp - 091e - 005s - to oso parkway exit (oso parkway e/b off ramp exit number 88) *,SR-91,I-5,oso parkway,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000072,2024,01/04/2024,01/10/2024,BG15 Drill Rig,California,Compton,Mission Viejo,"alameda st Compton, California",* from alameda st s/b on ramp - 091e - 710s - 405s - 005s - to oso parkway exit (oso parkway e/b off ramp exit number 88) *,SR-91,I-710,I-405,I-5,oso parkway,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109399,2024,01/01/2024,01/07/2024,CEMENT SILO,California,Hayward,Sacramento,"clawiter rd Hayward, California",* from clawiter rd s/b on ramp - 092e - 880n - 238s - 580e - 205e - 005n - to j st exit (j st e/b off ramp) *,SR-92,I-880,SR-238,I-580,I-205,I-5,j st,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109327,2024,01/01/2024,01/07/2024,90 TONE GROVE RT CRANE,California,Wilmington,Wilmington,"anaheim Wilmington, California",* anaheim way under 103 * anaheim st uc under 110 *,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000324,2024,01/03/2024,01/09/2024,TUG BOAT,California,Nv On I-15,"81 Big Break Rd, Oakley, Ca 94561","nv line Nv On I-15, California",* from nv line 15 - 015s - 210w - 005n - to templin highway exit (templin highway e/b off ramp exit number 183) - detour via ramps - from templin highway e/b on ramp - 005n - 580w - 680n - 004e - 160n - to oakley/stockton exit (east 18th st e/b off ramp exit number 1a) *,I-15,SR-210,I-5,templin highway,detour via ramps,templin highway,I-5,I-580,I-680,SR-4,SR-160,oakley/stockton,None,None,None,None,None,None,None,None,None,None,None,None
e23-109291,2024,01/01/2024,01/07/2024,GOMACO GP 4000 PAVER,California,China Lake,Travis Air Force Base,"china lake blvd China Lake, California",* from china lake blvd @ inyokern rd - 178w - 014s - 058w - 099s - 119w - 005n - 580w - 680n - 242n - 004w - 680n - 080e - 012e - to walters rd/lawler ranch pkwy *,SR-178,SR-14,SR-58,SR-99,SR-119,I-5,I-580,I-680,SR-242,SR-4,I-680,I-80,SR-12,walters rd,None,None,None,None,None,None,None,None,None,None
e23-109290,2024,01/01/2024,01/07/2024,GOMACO GP 4000 PAVER,California,China Lake,Travis Air Force Base,"china lake blvd China Lake, California",* from china lake blvd @ inyokern rd - 178w - 014s - 058w - 099s - 119w - 005n - 580w - 680n - 242n - 004w - 680n - 080e - 012e - to walters rd/lawler ranch pkwy *,SR-178,SR-14,SR-58,SR-99,SR-119,I-5,I-580,I-680,SR-242,SR-4,I-680,I-80,SR-12,walters rd,None,None,None,None,None,None,None,None,None,None
e24-000218,2024,01/03/2024,01/09/2024,KOMATSU 605HD HAUL TRUCK,California,Corona,Az Line,"magnolia ave Corona, California",* from magnolia ave w/b on ramp - 015n - 010e - 086s - 111s - 078e - 111s - to evan hewes hwy exit (evan hewes hwy(co rd s-80)) * from bowker rd s/b on ramp - 008e - to az line 8 exit *,I-15,I-10,SR-86,SR-111,SR-78,SR-111,evan hewes hwy,I-80,I-8,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000219,2024,01/03/2024,01/09/2024,KOMATSU 605HD HAUL TRUCK,California,Corona,Az Line,"magnolia ave Corona, California",* from magnolia ave w/b on ramp - 015n - 010e - 086s - 111s - 078e - 111s - to evan hewes hwy exit (evan hewes hwy(co rd s-80)) * from bowker rd s/b on ramp - 008e - to az line 8 exit *,I-15,I-10,SR-86,SR-111,SR-78,SR-111,evan hewes hwy,I-80,I-8,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000099,2024,01/02/2024,01/08/2024,(76) Modular Building #1394592,California,Nv 80,Greenfield,"nv line Nv 80, California",* from nv line 80 - 080w - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) ** from east st w/b on ramp - 005s - 113s - 080w - 680s - 101s - to espinosa rd exit (south greenfield e/b off ramp) ** from south greenfield e/b on ramp - 101n - to walnut ave exit (walnut ave e/b off ramp) *,I-80,I-5,SR-113,I-5,SR-113,I-80,I-680,US-101,espinosa rd,US-101,walnut ave,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000097,2024,01/03/2024,01/09/2024,(89) Modular Building #1394594,California,Nv 80,Greenfield,"nv line Nv 80, California",* from nv line 80 - 080w - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) ** from east st w/b on ramp - 005s - 113s - 080w - 680s - 101s - to espinosa rd exit (south greenfield e/b off ramp) ** from south greenfield e/b on ramp - 101n - to walnut ave exit (walnut ave e/b off ramp) *,I-80,I-5,SR-113,I-5,SR-113,I-80,I-680,US-101,espinosa rd,US-101,walnut ave,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000096,2024,01/02/2024,01/08/2024,(54) Modular Building #1394597,California,Nv 80,Greenfield,"nv line Nv 80, California",* from nv line 80 - 080w - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) ** from east st w/b on ramp - 005s - 113s - 080w - 680s - 101s - to espinosa rd exit (south greenfield e/b off ramp) ** from south greenfield e/b on ramp - 101n - to walnut ave exit (walnut ave e/b off ramp) *,I-80,I-5,SR-113,I-5,SR-113,I-80,I-680,US-101,espinosa rd,US-101,walnut ave,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000143,2024,01/04/2024,01/10/2024,PRE-FAB STEEL FRAME JAYP0243200,California,United States / Mexican Border - Calexico,San Diego,"mexico border United States / Mexican Border - Calexico, California",* from mexico border - 007n - to chp truck insp facility exit e/b off ramp) ** from chp truck insp facility w/b on ramp - 007n - 008w - 015s - to ocean view blvd exit (ocean view blvd w/b off ramp) * * 28th st oc over rte 5 *,SR-7,chp truck insp facility,SR-7,I-8,I-15,ocean view blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000144,2024,01/04/2024,01/10/2024,PRE-FAB STEEL FRAME JAYP0242200,California,United States / Mexican Border - Calexico,San Diego,"mexico border United States / Mexican Border - Calexico, California",* from mexico border - 007n - to chp truck insp facility exit e/b off ramp) ** from chp truck insp facility w/b on ramp - 7n - 8w - 15s - to ocean view blvd w/b off ramp * * 28th st oc over rte 5 *,SR-7,chp truck insp facility,SR-7,I-8,I-15,ocean view blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000138,2024,01/05/2024,01/11/2024,90 TON RT CRANE  # 4501,California,Fontana,Los Angeles City,"citrus ave Fontana, California",* from citrus ave s/b on ramp - 010w - 605s - 105w - 405n - to manchester blvd exit (manchester blvd w/b off ramp exit number 47) *,I-10,I-605,I-105,I-405,manchester blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000013,2024,01/02/2024,01/08/2024,824 DOZER,California,Escondido,Rialto,"via rancho pkwy Escondido, California",* from via rancho pkwy w/b on ramp - 015n - 010e - to riverside ave exit (riverside ave s/b off ramp) *,I-15,I-10,riverside ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109303,2024,01/01/2024,01/07/2024,WOOD SHED,California,Merced,Galt,"16th st Merced, California",* from 16th st w/b on ramp - 099n - to crystal way e/b off ramp exit 274a *,SR-99,crystal way,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000139,2024,01/05/2024,01/11/2024,UNLADEN,California,Los Angeles,Fontana,"imperial hwy Los Angeles, California",* from imperial hwy s/b on ramp - 105e - 605n - 010e - to citrus ave exit (citrus ave n/b off ramp) *,I-105,I-605,I-10,citrus ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109420,2024,01/01/2024,01/07/2024,(110)GROVE TMS 9000E CRANE #1394678,California,Malibu,Santa Monica,"morning view rd Malibu, California",* from morning view rd - 001s - 010e - to 20th st s/b off ramp exit # 1b *,SR-1,I-10,SR-20,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109418,2024,01/01/2024,01/07/2024,(110) GROVE TMS 9000E CRANE #1394678,California,Santa Monica,Malibu,"20th st Santa Monica, California",* from 20th st s/b on ramp - morn10w - 1n to morning view rd exit  *,I-10,SR-1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000169,2024,01/02/2024,01/08/2024,Recycle Equipment - End to End,California,San Diego,Az Line 8,"britannia blvd San Diego, California",* from britannia blvd n/b on ramp - 905w - 805n - 054e - 125n - 008e - to az line 8 exit *,SR-905,I-805,SR-54,SR-125,I-8,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109308,2024,01/01/2024,01/07/2024,CNC MACHINE,California,Signal Hill,Arizona Line,"spring st Signal Hill, California",* from spring st e/b on ramp - 405s - 605n - 210e - 015n - 040e - to az line 40 exit *,I-405,I-605,SR-210,I-15,I-40,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109365,2024,01/01/2024,01/07/2024,1 Rock Truck Model: CAT,California,Az Line  10,"31426 Gonzaga Rd, Gustine, Ca, 95322","az line Az Line  10, California",* from az line 10 -10w - to corn springs rd n/b off ramp x201 - detour via ramps - from corn springs rd s/b on  ramp -10w -215n -210w -134w -2e -210w -5n to templin highway e/b off ramp exit # 183 - detour via ramps - from templin highway w/b on ramp -5n -33s - to gonzaga rd exit *,I-10,corn springs rd,detour via ramps,corn springs rd,I-10,I-215,SR-210,SR-134,SR-2,SR-210,I-5,detour via ramps,templin highway,I-5,SR-33,gonzaga rd,None,None,None,None,None,None,None,None
e23-109369,2024,01/01/2024,01/07/2024,1 Unladen w/Jeep Stacked,California,"31426 Gonzaga Rd, Gustine, Ca, 95322",Nv Line,"gonzaga rd 31426 Gonzaga Rd, Gustine, Ca, 95322, California",* from gonzaga rd - 033n - 005s - 046e - 099s - 058e - 015n - to nv line 15 exit *,SR-33,I-5,SR-46,SR-99,SR-58,I-15,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109311,2024,01/01/2024,01/07/2024,EMPTY CRATE FOR SOLAR PANELS,California,San Jose,Watsonville,"oakland rd San Jose, California",* from oakland rd e/b on ramp - 101s - 156w - 183n - 001n - 129e - to industrial rd exit  *,US-101,SR-156,SR-183,SR-1,SR-129,industrial rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109334,2024,01/01/2024,01/07/2024,VOLVO 380E EXCAVATOR #1394692,California,Newport Beach,Woodland Hills,"jamboree rd Newport Beach, California",* from jamboree rd - 001n - to costa mesa/ rte 55 north exit (old newport blvd ) * from old newport blvd - 055n - 022w - 405n - 605n - 210w - to foothill blvd s/b off ramp exit 21 * from gould ave n/b on ramp - 210w - 118w - 027s - to oxnard st exit  *,SR-1,costa mesa/ rte 55 north,SR-55,SR-22,I-405,I-605,SR-210,foothill blvd,SR-210,SR-118,SR-27,oxnard st,None,None,None,None,None,None,None,None,None,None,None,None
e23-109307,2024,01/01/2024,01/07/2024,CAT GENSET ENCLOSURE,California,Lakeside,National City,"vigilante rd Lakeside, California",* from vigilante rd - 067s - 052w - 125s - 054w - 005n - to plaza blvd exit (plaza blvd e/b off ramp exit number 11b) * from 8th st w/b on ramp - 005s - to bay marina wy exit (bay marina wy w/b off ramp exit number 10) *,SR-67,SR-52,SR-125,SR-54,I-5,plaza blvd,I-5,bay marina wy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109360,2024,01/01/2024,01/07/2024,TOP HANDLER (T101) BG9,California,Compton,Compton,"central ave Compton, California",* from central ave s/b on ramp - 091e - 710s - to long beach blvd exit (long beach blvd w/b off ramp exit number 7b) *,SR-91,I-710,long beach blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109284,2024,01/01/2024,01/07/2024,ULTRASONIC VESSEL,California,Az Line,Morgan Hill,"az line Az Line, California",* from az line 40 - 040w - 015s - 058w - 099n - 046w - 101n - to cochrane rd exit (cochrane rd w/b off ramp exit number 367) *,I-40,I-15,SR-58,SR-99,SR-46,US-101,cochrane rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109283,2024,01/01/2024,01/07/2024,ULTRASONIC VESSEL,California,Morgan Hill,Carson,"cochrane rd Morgan Hill, California",* from cochrane rd e/b on ramp - 101s - 046e - 005s - 405s - to wilmington ave exit (wilmington ave w/b off ramp exit number 33b) *,US-101,SR-46,I-5,I-405,wilmington ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109294,2024,01/01/2024,01/07/2024,PIPE SPOOL,California,Long Beach,I-10 & Az,"magnolia ave Long Beach, California",* from magnolia ave - 001n - 710n - 091e - 215n - 010e - to corn springs rd exit (corn springs rd s/b off ramp exit number 201) - detour via ramps - from corn springs rd n/b on ramp - 010e - to az line 10 exit *,SR-1,I-710,SR-91,I-215,I-10,corn springs rd,detour via ramps,corn springs rd,I-10,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109247,2024,01/01/2024,01/07/2024,CNC MACHINE,California,Long Beach,Az Line,"east i st Long Beach, California",* from east i st w/b on ramp - 103n - 001s - 710n - 010e - 015n - 040e - to az line 40 exit *,SR-103,SR-1,I-710,I-10,I-15,I-40,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109293,2024,01/01/2024,01/07/2024,PIPE SPOOL,California,Long Beach,I-10 & Az,"magnolia ave Long Beach, California",* from magnolia ave - 001n - 710n - 091e - 215n - 010e - to corn springs rd exit (corn springs rd s/b off ramp exit number 201) - detour via ramps - from corn springs rd n/b on ramp - 010e - to az line 10 exit *,SR-1,I-710,SR-91,I-215,I-10,corn springs rd,detour via ramps,corn springs rd,I-10,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109246,2024,01/01/2024,01/07/2024,CNC MACHINE,California,Long Beach,Az Line,"east i st Long Beach, California",* from east i st w/b on ramp - 103n - 001s - 710n - 010e - 015n - 040e - to az line 40 exit *,SR-103,SR-1,I-710,I-10,I-15,I-40,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109288,2024,01/01/2024,01/07/2024,SUBMARINE,California,Upland,Redondo Beach,"monte vista ave Upland, California",* from monte vista ave s/b on ramp - 010w - 605s - 105w - 405s - to artesia blvd e/b off ramp exit 40a *,I-10,I-605,I-105,I-405,artesia blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109289,2024,01/01/2024,01/07/2024,DUCTWORK Make: KIRK & BLUM Model: 518542 SN: 518542,California,Az Line,"164 West Magnolia Blvd, Burbank, Ca, 91501","az line Az Line, California",* from az line 40 - 040w - 015s - 210w - 134w - 005n - to alameda ave exit (alameda ave w/b off ramp exit number 145b) *,I-40,I-15,SR-210,SR-134,I-5,alameda ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109296,2024,01/01/2024,01/07/2024,RODNEY UPPER MIIDLE LOG,California,Stockton,Tracy,"pershing ave Stockton, California",* from pershing ave e/b on ramp - 005n - to eight mile rd e/b off ramp exit 481 * eight mile rd oc over 99 * eight mile rd across 88 * jack tone rd/co rd j5 across 26 * jack tone rd/co rd j-5 across 4 * from jack tone road - 120w - 099s - 120w - 005s - to tracy exit (old us 50/11th st w/b off ramp exit 458a) *,I-5,eight mile rd,I-5,SR-120,SR-99,SR-120,I-5,tracy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109292,2024,01/01/2024,01/07/2024,1 Wheel Loader Make: Caterpillar Model: 938M SN: P5K04800,California,Az Line,"2200 Pegasus Dr, Bakersfield, Ca, 93308","az line Az Line, California",* from az line 40 - 040w - 015s - 058w - 099n - 065n - to merle haggard dr exit (merle haggard dr) *,I-40,I-15,SR-58,SR-99,SR-65,merle haggard dr,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109295,2024,01/01/2024,01/07/2024,BELL B45E ARTICULATING ROCK TRUCK,California,Corona,Duarte,"indian truck trail w Corona, California",* from indian truck trail w/b on ramp - 015n - 210w - to huntington dr n/b off ramp exit *,I-15,SR-210,huntington dr,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109297,2024,01/01/2024,01/07/2024,BELL B40D ARTICULATING ROCK TRUCK,California,Corona,Duarte,"indian truck trail w Corona, California",* from indian truck trail w/b on ramp - 015n - 210w - to huntington dr n/b off ramp exit *,I-15,SR-210,huntington dr,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109299,2024,01/01/2024,01/07/2024,MACHINE CENTER,California,Compton,Ca Line 15,"wilmington ave Compton, California",* from wilmington ave n/b on ramp - 105e - 605n - 210e - 015n - to nv line 15 exit *,I-105,I-605,SR-210,I-15,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109300,2024,01/01/2024,01/07/2024,MACHINE CENTER,California,Compton,Ca Line 15,"wilmington ave Compton, California",* from wilmington ave n/b on ramp - 105e - 605n - 210e - 015n - to nv line 15 exit *,I-105,I-605,SR-210,I-15,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109301,2024,01/01/2024,01/07/2024,DUCT/EXPANSION JOINT WITH MISC LEGAL PARTS E/E WCS#1394494,California,Arizona Line,El Segundo,"az line Arizona Line, California",* from az line 10 - 010w - to corn springs rd n/b off ramp exit # 201- detour via ramps -from corn springs rd s/b on  ramp - 010w - to indian canyon dr n/b off ramp exit # 120) ** from dillon rd - 062w - 010w - 215n - 210w - 605s - 105w - 001s - to el segundo blvd exit *,I-10,corn springs rd,detour via ramps,corn springs rd,I-10,indian canyon dr,SR-62,I-10,I-215,SR-210,I-605,I-105,SR-1,el segundo blvd,None,None,None,None,None,None,None,None,None,None
e23-109304,2024,01/01/2024,01/07/2024,EMPTY STEEL TANK,California,Fresno,Or Line 5,"shaw ave Fresno, California",* from shaw ave w/b on ramp - 099n - 120w - 005n - to or line 5 exit *,SR-99,SR-120,I-5,or line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109306,2024,01/01/2024,01/07/2024,CAT GENSET ENCLOSURE,California,Lakeside,National City,"vigilante rd Lakeside, California",* from vigilante rd - 067s - 052w - 125s - 054w - 005n - to plaza blvd exit (plaza blvd e/b off ramp exit number 11b) * from 8th st w/b on ramp - 005s - to bay marina wy exit (bay marina wy w/b off ramp exit number 10) *,SR-67,SR-52,SR-125,SR-54,I-5,plaza blvd,I-5,bay marina wy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109313,2024,01/01/2024,01/07/2024,MANUFACTURED HOUSING SER# 1795,California,San Jacinto,Indio,"sanderson ave San Jacinto, California",* from sanderson ave @ ramona expwy - 079n - 010e - to chiriaco summit n/b off ramp exit # 173 *,SR-79,I-10,chiriaco summit n/b off ramp,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109336,2024,01/01/2024,01/07/2024,CAT D-10 DOZER,California,Nevada - 395 (North Jct),Soda Springs,"nv line Nevada - 395 (North Jct), California",* from nv line 395(north) - 395n - 070w - to co rd a24 * from dyson ln - 049s - 089s - 080w - to soda springs/norden exit (donner pass rd s/b off ramp exit 174) *,US-395,SR-70,co rd,SR-49,SR-89,I-80,soda springs/norden,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109315,2024,01/01/2024,01/07/2024,WOOD TRUSSES (50) STACKED & E/E,California,Pollock Pines,South Lake Tahoe,"ice house rd Pollock Pines, California",* from ice house rd - 050e - to 3rd st exit (3rd st) *,US-50,SR-3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109326,2024,01/01/2024,01/07/2024,UNLADEN BOAT TRAILER,California,Long Beach,Oregon Line/5,"santa fe ave Long Beach, California",* from santa fe ave - 001n - 110n - 405n - 005n - to or line 5 exit *,SR-1,SR-110,I-405,I-5,or line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109316,2024,01/01/2024,01/07/2024,WOOD TRUSSES (50) STACKED & E/E,California,Pollock Pines,South Lake Tahoe,"ice house rd Pollock Pines, California",* from ice house rd - 050e - to 3rd st exit (3rd st) *,US-50,SR-3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109250,2024,01/01/2024,01/07/2024,TEREX IMPACT SCREEN PLANT,California,Nevada  State Line,Fontana,"nv line Nevada  State Line, California",* from nv line 95 - 095s - 040w - to goffs rd s/b off ramp * from national trails hwy n/b on ramp - 040w - 015s - 215s - to orange show rd exit (auto plaza dr w/b off ramp exit 41) * from mt vernon ave s/b on ramp - 010w - to cherry ave exit (cherry ave n/b off ramp) *,US-95,I-40,goffs rd,I-40,I-15,I-215,orange show rd,I-10,cherry ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109320,2024,01/01/2024,01/07/2024,EMPTY FIBERGLASS TANK,California,Bakersfield,Duarte,"7th standard rd Bakersfield, California",* merle haggard dr across 65 * 7th standard rd over 99 * 7th standard rd across 43 * from 7th standard rd w/b on ramp - 5s to templin highway w/b off ramp #183 -detour via ramps- from templin highway e/b on ramp - 5s to rte 126 west/ventura exit (newhall ranch rd e/b off ramp) * from golden valley rd e/b on ramp - 14s - 5s - 210e to buena vista st exit (evergreen st s/b off ramp exit # 35b) *,I-5,detour via ramps,templin highway,I-5,SR-14,I-5,SR-210,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109319,2024,01/01/2024,01/07/2024,EMPTY FIBERGLASS TANK,California,Bakersfield,Duarte,"7th standard rd Bakersfield, California",* merle haggard dr across 65 * 7th standard rd over 99 * 7th standard rd across 43 * from 7th standard rd w/b on ramp - 5s to templin highway w/b off ramp #183 -detour via ramps- from templin highway e/b on ramp - 5s to rte 126 west/ventura exit (newhall ranch rd e/b off ramp) * from golden valley rd e/b on ramp - 14s - 5s - 210e to buena vista st exit (evergreen st s/b off ramp exit # 35b) *,I-5,detour via ramps,templin highway,I-5,SR-14,I-5,SR-210,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109328,2024,01/01/2024,01/07/2024,MANUFACTURED HOUSING SN 41671,California,San Marcos,El Cajon,"san marcos blvd San Marcos, California",* from san marcos blvd n/b on ramp - 078e - 015s - 052e - 125s - 008e - to 2nd st exit (2nd st s/b off ramp) *,SR-78,I-15,SR-52,SR-125,I-8,SR-2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109335,2024,01/01/2024,01/07/2024,CAT D-10 DOZER,California,Escondido,Riverside,"via rancho pkwy Escondido, California",* from via rancho pkwy w/b on ramp - 015n - to el norte parkway e/b off ramp * from mountain meadow rd w/b on ramp - 015n - 215n - to van buren blvd w/b off ramp *,I-15,el norte parkway,I-15,I-215,van buren blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109332,2024,01/01/2024,01/07/2024,Aluminum Sheets - 18 pieces - Stacked,California,"10606 Commerce Way, Fontana Ca 92337","268 E Gardena Blvd., Gardena Ca 90247","etiwanda ave 10606 Commerce Way, Fontana Ca 92337, California",* from etiwanda ave n/b on ramp - 010w - 605s - 091w - to main st exit (main st (carson) n/b off ramp exit number 7a) *,I-10,I-605,SR-91,main st,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109337,2024,01/01/2024,01/07/2024,MACHINING CENTER,California,Long Beach,Az Line,"harbor scenic dr Long Beach, California",* from harbor scenic dr on ramp - 710n - 105e - 605n - 210e - 015n - 040e - to az line 40 exit *,I-710,I-105,I-605,SR-210,I-15,I-40,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109342,2024,01/01/2024,01/07/2024,PUMP HOUSE,California,Az Line 8,Santa Clarita,"az line Az Line 8, California",* from az line 8 - 8w - 111n - 78w - 86n - 10w - 215n - 210w - 5n - to newhall ranch rd e/b off ramp # 172 *,I-8,SR-111,SR-78,SR-86,I-10,I-215,SR-210,I-5,newhall ranch rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109343,2024,01/01/2024,01/07/2024,UNLADEN,California,Santa Clarita,Az Line 40,"newhall ranch rd Santa Clarita, California",* from newhall ranch rd - 126w - 5s - 14n - 58e - 15n - 40e - to az line 40 *,SR-126,I-5,SR-14,SR-58,I-15,I-40,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-109339,2024,01/01/2024,01/07/2024,1-HOPPER BIN WEDGE,California,Az Line,"12523 N Ca-59, Merced","az line Az Line, California",* from az line 40 - 040w - 015s - 058w - 099n - 059n - to turlock rd exit (turlock rd/co rd j-17) *,I-40,I-15,SR-58,SR-99,SR-59,turlock rd,SR-17,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
