permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,authorizedhighways,route_location_origin,route_intersection_origin,route_intersection_origin_x_coords,route_intersection_origin_y_coords,route_intersection_1,route_intersection_1_x_coords,route_intersection_1_y_coords,route_intersection_2,route_intersection_2_x_coords,route_intersection_2_y_coords,route_intersection_3,route_intersection_3_x_coords,route_intersection_3_y_coords,route_intersection_4,route_intersection_4_x_coords,route_intersection_4_y_coords,route_intersection_5,route_intersection_5_x_coords,route_intersection_5_y_coords,route_intersection_6,route_intersection_6_x_coords,route_intersection_6_y_coords,route_intersection_7,route_intersection_7_x_coords,route_intersection_7_y_coords,route_intersection_8,route_intersection_8_x_coords,route_intersection_8_y_coords,route_intersection_9,route_intersection_9_x_coords,route_intersection_9_y_coords,route_intersection_10,route_intersection_10_x_coords,route_intersection_10_y_coords,route_intersection_11,route_intersection_11_x_coords,route_intersection_11_y_coords,route_intersection_12,route_intersection_12_x_coords,route_intersection_12_y_coords,route_intersection_13,route_intersection_13_x_coords,route_intersection_13_y_coords,route_intersection_14,route_intersection_14_x_coords,route_intersection_14_y_coords,route_intersection_15,route_intersection_15_x_coords,route_intersection_15_y_coords,route_intersection_16,route_intersection_16_x_coords,route_intersection_16_y_coords,route_intersection_17,route_intersection_17_x_coords,route_intersection_17_y_coords,route_intersection_18,route_intersection_18_x_coords,route_intersection_18_y_coords
e23-000239,2023,01/04/2023,01/10/2023,WELL DRILLING RIG,California,Strathmore,Pixley,* from rd 192/co hwy j27/dettle ave - 190w - to road 152 exit (rd 152 / bliss ln) *,"rd Strathmore, California","rd Strathmore, California and SR-190",,,SR-190 AND ROAD,-119.3090526,36.0512291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000243,2023,01/04/2023,01/10/2023,4522 -  VOLVO 750 EXCAVATOR (WCS# 1301054),California,Arizona State Line,Los Angeles,* from az line 62 - 062w - 010w - 605s - 105w - 710n - to firestone blvd exit (firestone blvd w/b off ramp exit number 13) *,"az line Arizona State Line, California",SR-62 and Arizona Line,-114.299386,34.159885,I-10 AND SR-62,-116.6043518,33.9142755,I-10 AND I-605,-118.0000932,34.0650647,I-105 AND I-605,-118.1048384,33.9139358,I-105 AND I-710,-118.1801015,33.9128225,I-710 AND FIRESTONE BLVD,-118.1703349,33.9496722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000150,2023,01/03/2023,01/09/2023,UNLADEN W/ JEEP DECK,California,Oregon Line,Long Beach,* from or line 5 - 005s - 210e - 605s - 022w - 001n - to east anaheim st exit (los altos plaza/east anaheim st) *,"or line Oregon Line, California",I-5 and Oregon Line,-122.6154688,42.0053774,I-5 AND SR-210,-118.4903133,34.3159777,SR-210 AND I-605,-117.957446,34.134298,SR-22 AND I-605,-118.0912555,33.7847504,SR-1 AND SR-22,-118.122776,33.775379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000255,2023,01/03/2023,01/09/2023,"Crane boom and jib, 2 pcs, end-to-end",California,Or Line 97,El Segundo,* from or line 97 - 97s - 5s - 405s - to el segundo blvd exit (el segundo blvd w/b off ramp exit 44) *,"or line Or Line 97, California",US-97 and Oregon Line,-121.8892113,42.0032008,I-5 AND US-97,-122.3825292,41.41573,I-5 AND I-405,-117.7303127,33.6389622,I-405 AND EL SEGUNDO BLVD,-118.370208,33.9162045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000254,2023,01/03/2023,01/09/2023,POWERSCREEN,California,Or Line,Dixon,* from or line 5 - 5s - to montague rd over rte 3 w/b off ramp exit number 776-detour via ramps-from montague rd over rte 3 e/b on ramp - 005s - to miner st w/b off ramp exit number 775** from center st e/b on ramp - 005s - to red bluff w/b off ramp exit number 651 ** from main st(north) @ beegum rd - 036e - to walnut st/co rd a-7** from south main st e/b on ramp - 005s - 113s - 080w - 113s - to industrial way/regency pkwy exit (industrial way) *,"or line Or Line, California",I-5 and Oregon Line,-122.6154688,42.0053774,I-5 AND SR-113,-121.751637,38.685321,I-80 AND SR-113,-121.7702521,38.519704,I-80 AND SR-113,-121.7702521,38.519704,SR-113 AND INDUSTRIAL WAY,-121.822443,38.459010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000249,2023,01/03/2023,01/09/2023,AD30 CAT MINING TRUCK,California,Long Beach,Nevada Line 15,* from harbor scenic dr on ramp - 710n - 105e - 605n - 010e - 015n - to nv line 15 exit *,"harbor scenic dr Long Beach, California","harbor scenic dr Long Beach, California and I-710",-118.2072891,33.7654643,I-105 AND I-710,-118.1801015,33.9128225,I-105 AND I-605,-118.1048384,33.9139358,I-10 AND I-605,-118.0000932,34.0650647,I-10 AND I-15,-117.544920,34.067352,I-15 AND NV LINE,-115.392266,35.6048034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000248,2023,01/04/2023,01/10/2023,BP7 - VOLVO 480 EXCAVATOR (WCS# 1301063),California,Long Beach,Sacramento,* from seaside fwy - 710n - 105e - 605n - 210w - to foothill bl s/b off ramp exit# 21* from gould ave n/b on ramp - 210w - 005n - to templin hwy e/b off ramp exit# 183 - detour via ramps- from templin hwy w/b on ramp - 005n - 004e - 099n - 012w - 005n - to fruitridge rd exit (seamas ave e/b off ramp) *,"seaside fwy Long Beach, California","seaside fwy Long Beach, California and I-710",-118.2323959,33.7606061,I-105 AND I-710,-118.1801015,33.9128225,I-105 AND I-605,-118.1048384,33.9139358,SR-210 AND I-605,-117.957446,34.134298,I-5 AND SR-210,-118.4903133,34.3159777,TEMPLIN HWY AND I-5,-118.687866,34.569667,SR-4 AND I-5,-121.300591,37.948246,SR-4 AND SR-99,-121.235285,37.943993,SR-12 AND SR-99,-121.2578895,38.1162481,I-5 AND SR-12,-121.3978848,38.1154351,I-5 AND FRUITRIDGE RD,-121.5213682,38.525593,,,,,,,,,,,,,,,,,,,,,,,,
e23-000168,2023,01/03/2023,01/09/2023,JD EXCAVATOR,California,Bakersfield,Corona,* from merle haggard dr - 065s - 099s - 058e - 015s - to indian truck trail exit (indian truck trail e/b off ramp) *,"merle haggard dr Bakersfield, California","merle haggard dr Bakersfield, California and SR-65",-119.084131,35.441415,SR-65 AND SR-99,-119.075105,35.434017,SR-58 AND SR-99,-119.0395304,35.3526592,I-15 AND SR-58,-117.076548,34.870725,I-15 AND INDIAN TRUCK TRAIL,-117.4524298,33.7487283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000246,2023,01/03/2023,01/09/2023,JOHN DEERE 9570 TRACTOR,California,Az Line,"9790 W Mt Whitney Ave, Riverdale, Ca",* from az line 40 - 040w - 015s - 058w - 099n - 198w - 041n - to mt whitney ave exit (mt whitney ave) *,"az line Az Line, California",I-10 and Arizona Line,-114.5309445,33.6047557,I-15 AND I-40,-117.008954,34.886545,I-15 AND SR-58,-117.076548,34.870725,SR-58 AND SR-99,-119.0395304,35.3526592,SR-99 AND SR-198,-119.407849,36.327400,SR-41 AND SR-198,-119.8080698,36.2820593,SR-41 AND MT WHITNEY AVE,-119.8011906,36.4310572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000256,2023,01/03/2023,01/09/2023,JET ENGINE TRAILER,California,Oregon,Arizona,* from or line 5 - 005s - 210e - 215s - 010e - to az line 10 exit *,"or line Oregon, California",I-5 and Oregon Line,-122.6154688,42.0053774,I-5 AND SR-210,-118.4903133,34.3159777,SR-210 AND I-215,-117.319360,34.144444,I-10 AND I-215,-117.2964956,34.0641924,I-10 AND AZ LINE,-114.5311155,33.6047178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000320,2023,01/06/2023,01/12/2023,EMPTY 2ND STAGE ROCKET | NON HAZMAT,California,Az Line 8,Vandenberg Space Force Base,* from az line 8 - 8w - 111n - 78w - 86n - 10w - 215n - 15n - 395n - 18w - 138w - to 165th st east exit * from ave `d` w/b on ramp - 138w - 5n - 166w - 33s - 166w - 101s - 135s - to donovan rd exit * from donovan rd e/b on ramp - 101s - to union valley pkwy exit w/b off ramp * from union valley pkwy - 135s - 1s - to santa lucia cyn rd exit *,"az line Az Line 8, California",I-8 and Arizona Line,-114.608218,32.698957,I-8 AND SR-111,-115.501143,32.773791,SR-78 AND SR-111,-115.501324,32.978586,SR-78 AND SR-86,-115.855248,33.125824,I-10 AND SR-86,-116.1932279,33.7178667,I-10 AND I-215,-117.2964956,34.0641924,I-15 AND I-215,-117.408750,34.223824,I-15 AND US-395,-117.402128,34.398855,SR-18 AND US-395,-117.399583,34.506690,SR-18 AND SR-138,-117.289797,34.227983,I-5 AND SR-138,-118.7986074,34.7640468,I-5 AND SR-166,-118.999200,35.059332,SR-33 AND SR-166,-119.512667,34.936127,SR-33 AND SR-166,-119.512667,34.936127,US-101 AND SR-166,-120.434710,34.996273,US-101 AND SR-135,-120.431695,34.981731,US-101 AND UNION VALLEY PKWY,-120.408813,34.880004,UNION VALLEY PKWY AND SR-135,-120.436592,34.879572,SR-1 AND SR-135,-120.451996,34.840925
e23-000167,2023,01/03/2023,01/09/2023,MOBILE HOME,California,Pala,Perris,* from rosemary`s mountain quarry - 076w - 015n - 215n - to ramona expwy exit (cajalco expwy w/b off ramp) *,"rosemary Pala, California","rosemary Pala, California and SR-76",,,I-15 AND SR-76,-117.383127,33.204713,I-15 AND I-215,-117.408750,34.223824,I-215 AND RAMONA EXPWY,-117.2508563,33.843766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000253,2023,01/04/2023,01/10/2023,HEATER EXCHANGER,California,Arizona State Line,Martinez,* from az line 40 - 040w - 015s - 058w - 099n - 152w - 005n - 580w - 680n - to pacheco blvd exit (pacheco blvd w/b off ramp exit number 54) *,"az line Arizona State Line, California",I-10 and Arizona Line,-114.5309445,33.6047557,I-15 AND I-40,-117.008954,34.886545,I-15 AND SR-58,-117.076548,34.870725,SR-58 AND SR-99,-119.0395304,35.3526592,SR-99 AND SR-152,-120.209553,37.084135,I-5 AND SR-152,-120.9698301,37.0566575,I-5 AND I-580,-121.340756,37.596558,I-580 AND I-680,-121.922687,37.700955,I-680 AND PACHECO BLVD,-122.084837,38.007554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000260,2023,01/04/2023,01/10/2023,85' WOOD POWER POLE,California,Commerce,Long Beach,* from washington blvd w/b on ramp - 605s - 105w - 710s - 1s - to magnolia ave exit (magnolia ave) *,"washington blvd Commerce, California","washington blvd Commerce, California and I-605",-118.0800504,33.9739545,I-105 AND I-605,-118.1048384,33.9139358,I-105 AND I-710,-118.1801015,33.9128225,SR-1 AND I-710,-118.2078449,33.7898405,SR-1 AND MAGNOLIA AVE,-118.198120,33.789816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000252,2023,01/04/2023,01/10/2023,HEATER EXCHANGER,California,Arizona State Line,Martinez,* from az line 40 - 040w - 015s - 058w - 099n - 152w - 005n - 580w - 680n - to pacheco blvd exit (pacheco blvd w/b off ramp exit number 54) *,"az line Arizona State Line, California",I-10 and Arizona Line,-114.5309445,33.6047557,I-15 AND I-40,-117.008954,34.886545,I-15 AND SR-58,-117.076548,34.870725,SR-58 AND SR-99,-119.0395304,35.3526592,SR-99 AND SR-152,-120.209553,37.084135,I-5 AND SR-152,-120.9698301,37.0566575,I-5 AND I-580,-121.340756,37.596558,I-580 AND I-680,-121.922687,37.700955,I-680 AND PACHECO BLVD,-122.084837,38.007554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000250,2023,01/04/2023,01/10/2023,HEATER EXCHANGER,California,Arizona State Line,Martinez,* from az line 40 - 040w - 015s - 058w - 099n - 152w - 005n - 580w - 680n - to pacheco blvd exit (pacheco blvd w/b off ramp exit number 54) *,"az line Arizona State Line, California",I-10 and Arizona Line,-114.5309445,33.6047557,I-15 AND I-40,-117.008954,34.886545,I-15 AND SR-58,-117.076548,34.870725,SR-58 AND SR-99,-119.0395304,35.3526592,SR-99 AND SR-152,-120.209553,37.084135,I-5 AND SR-152,-120.9698301,37.0566575,I-5 AND I-580,-121.340756,37.596558,I-580 AND I-680,-121.922687,37.700955,I-680 AND PACHECO BLVD,-122.084837,38.007554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000261,2023,01/03/2023,01/09/2023,TURBINE BASE,California,Az Line 8,San Diego,* from az line 8 - 8w - 15n - to balboa ave w/b off ramp # 9 *,"az line Az Line 8, California",I-8 and Arizona Line,-114.608218,32.698957,I-8 AND I-15,-117.112371,32.778595,I-15 AND BALBOA AVE,-117.1165874,32.8229064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000257,2023,01/03/2023,01/09/2023,TESLA BATTERY,California,Nv Line I-395N,Oakland,* from nv line 395(no-th) - 395n - 070w - 049s - 089s - 080w - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) ** from east st w/b on ramp - 005s - 113s - 080w - 880s - to 98th ave exit (98th ave e/b off ramp exit number 35) *,"nv line Nv Line I-395N, California","nv line Nv Line I-395N, California and th)",,,SR-70 AND US-395,-120.038744,39.775167,SR-49 AND SR-70,-120.178064,39.804518,SR-49 AND SR-89,-120.367000,39.589529,I-80 AND SR-89,-120.2077074,39.3230493,I-5 AND I-80,-121.5171204,38.6248864,I-5 AND SR-113,-121.751637,38.685321,I-5 AND SR-113,-121.751637,38.685321,I-5 AND SR-113,-121.751637,38.685321,I-80 AND SR-113,-121.7702521,38.519704,I-80 AND I-880,-122.2936744,37.8287862,SR-98 AND I-880,-122.1885187,37.73171,,,,,,,,,,,,,,,,,,,,,
e23-000270,2023,01/05/2023,01/11/2023,LIEBHERR LTM 1400   SN:072382  #500456,California,San Leandro   (10700 Bigge St),San Jose   (1960 Quito Rd),* from 98th ave e/b on ramp - 880s - to lewelling blvd exit (lewelling blvd w/b off ramp) ** from grant ave e/b on ramp - 880s - 101s - 280n - to saratoga ave exit (saratoga ave w/b off ramp) *,"98th ave San Leandro   (10700 Bigge St), California","98th ave San Leandro   (10700 Bigge St), California and I-880",-122.1885614,37.7316942,US-101 AND I-880,-121.901850,37.364156,US-101 AND I-280,-122.406813,37.735269,I-280 AND SARATOGA AVE,-121.9746689,37.3170683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000258,2023,01/03/2023,01/09/2023,2 BED FRAMES END TO END,California,Wilmington,Az Line,* from harry bridges blvd w/b on ramp - 110n - 105e - 605n - 210e - 015n - 040e - to az line 40 exit *,"harry bridges blvd Wilmington, California","harry bridges blvd Wilmington, California and SR-110",-118.2798941,33.771873,I-105 AND SR-110,-118.2807593,33.9286602,I-105 AND I-605,-118.1048384,33.9139358,SR-210 AND I-605,-117.957446,34.134298,I-15 AND SR-210,-117.495885,34.136374,I-15 AND I-40,-117.008954,34.886545,I-40 AND AZ LINE,-114.4878107,34.7171822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000282,2023,01/03/2023,01/09/2023,EXCAVATOR,California,Oroville,Twain,* from big bend rd/pinkston rd - 070e - to twain rd exit (twain rd) *,"big bend rd Oroville, California","big bend rd Oroville, California and SR-70",-121.502653,39.7249756,SR-70 AND TWAIN RD,-121.0714503,40.0206029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000263,2023,01/03/2023,01/09/2023,FORKLIFT,California,Santa Fe Springs,Carson,* from telegraph rd w/b on ramp - 605s - 105w - 710s - 405n - to wilmington ave exit (wilmington ave w/b off ramp exit number 33b) *,"telegraph rd Santa Fe Springs, California","telegraph rd Santa Fe Springs, California and I-605",-118.0919494,33.9497531,I-105 AND I-605,-118.1048384,33.9139358,I-105 AND I-710,-118.1801015,33.9128225,I-405 AND I-710,-118.2074519,33.8263771,I-405 AND WILMINGTON AVE,-118.2416888,33.8258467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000278,2023,01/03/2023,01/09/2023,CONTAINER HANDLER                          T127BP7,California,Castaic,Stockton,* from templin highway w/b on ramp - 005n - 004e - to el dorado st/center st exit (center st s/b off ramp) *,"templin highway Castaic, California","templin highway Castaic, California and I-5",-118.6878985,34.5696583,SR-4 AND I-5,-121.300591,37.948246,SR-4 AND EL DORADO ST,-121.2860493,37.9389648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000276,2023,01/04/2023,01/10/2023,PUMP,California,Compton,Long Beach,* - wilmington ave. oc ove rte 91 - ** - del amo bl. oc over rte 405 - ** - carson st. oc over rte 110 - ** - 228th st. oc over rte 10 - ** - figueroa st. across rte 1 - ** - anaheim way uc under rte 103 - *,,nan and wilmington ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000296,2023,01/04/2023,01/10/2023,MODULAR BUILDING #14,California,Nv Ca Line 15,Newark,* from nv line 15 - 15s - 58w - to comanche dr/arvin exit (comanche dr s/b off ramp exit number 121) *panama rd across hwy 184 * from taft hwy/panama rd - 119w - 5n - 580w - 680s - 262s (mission blvd) - 880n - to mowry ave exit (mowry ave e/b off ramp) *,"nv line Nv Ca Line 15, California","nv line Nv Ca Line 15, California and I-15",-115.3916506,35.6065029,I-15 AND SR-58,-117.076548,34.870725,I-5 AND SR-119,-119.224524,35.2670658,I-5 AND I-580,-121.340756,37.596558,I-580 AND I-680,-121.922687,37.700955,SR-262 AND I-680,-121.923224,37.495525,SR-262 AND I-880,-121.936932,37.483656,I-880 AND MOWRY AVE,-122.0022236,37.5297782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000264,2023,01/03/2023,01/09/2023,Cat 349 Excavator,California,Livermore,Pleasanton,* from concannon blvd - 84n - 580w - to el charro rd exit (el charro rd s/b off ramp exit 48) *,"concannon blvd Livermore, California","concannon blvd Livermore, California and SR-84",-121.8055097,37.6608752,SR-84 AND I-580,-121.802032,37.700847,I-580 AND EL CHARRO RD,-121.8494376,37.7012515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000266,2023,01/03/2023,01/09/2023,Manufactured Home,California,Riverside,Porterville,* from van buren blvd n/b on ramp - 060w - 015n - 210w - 005n - 099n - 065n - to north grand ave exit (north grand ave) *,"van buren blvd Riverside, California","van buren blvd Riverside, California and SR-60",-117.5242834,34.0161269,I-15 AND SR-60,-117.550268,34.021768,I-15 AND SR-210,-117.495885,34.136374,I-5 AND SR-210,-118.4903133,34.3159777,I-5 AND SR-99,-118.954452,35.013687,SR-65 AND SR-99,-119.075105,35.434017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000171,2023,01/03/2023,01/09/2023,2 HAY BALER E/E & MISC LEGAL ITEMS   #1300878,California,Wilmington,Nevada State Line,* from anaheim st w/b on ramp - 110n - 105e - 605n - 210e - 015n - to nv line 15 exit *,"anaheim st Wilmington, California","anaheim st Wilmington, California and SR-110",-118.2802675,33.778996,I-105 AND SR-110,-118.2807593,33.9286602,I-105 AND I-605,-118.1048384,33.9139358,SR-210 AND I-605,-117.957446,34.134298,I-15 AND SR-210,-117.495885,34.136374,I-15 AND NV LINE,-115.392266,35.6048034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000268,2023,01/04/2023,01/10/2023,RT CRANE,California,San Dimas,Glendora,* from arrow highway w/b on ramp - 57n - 210w - to grand ave exit (grand ave n/b off ramp) *,"arrow highway San Dimas, California","arrow highway San Dimas, California and SR-57",-117.8216541,34.1066534,SR-57 AND SR-210,-117.8243558,34.1205105,SR-210 AND GRAND AVE,-117.8726863,34.1206204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000275,2023,01/04/2023,01/10/2023,PUMP,California,Compton,Long Beach,* - wilmington ave. oc ove rte 91 - ** - del amo bl. oc over rte 405 - ** - carson st. oc over rte 110 - ** - 228th st. oc over rte 10 - ** - figueroa st. across rte 1 - ** - anaheim way uc under rte 103 - *,,nan and wilmington ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000269,2023,01/05/2023,01/11/2023,LIEBHERR LTM 1400   SN:072382  #500456,California,San Jose   (1960 Quito Rd),San Leandro   (10700 Bigge St),* from saratoga ave e/b on ramp - 280s - 101n - 880n - to hesperian blvd exit (hesperian blvd e/b off ramp) ** from lewelling blvd w/b on ramp - 880n - to 98th ave exit (98th ave w/b off ramp exit number 35) *,"saratoga ave San Jose   (1960 Quito Rd), California","saratoga ave San Jose   (1960 Quito Rd), California and I-280",,,US-101 AND I-280,-122.406813,37.735269,US-101 AND I-880,-121.901850,37.364156,SR-98 AND I-880,-122.1885828,37.7316923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000274,2023,01/03/2023,01/09/2023,1 - OFF ROAD TIRE,California,Az Line 8,Brawley,* from az line 8 - 8w - 111n - 78e - to gfoc mine access rd exit (gfoc mine access rd) *,"az line Az Line 8, California",I-8 and Arizona Line,-114.608218,32.698957,I-8 AND SR-111,-115.501143,32.773791,SR-78 AND SR-111,-115.501324,32.978586,SR-78 AND GFOC MINE ACCESS RD,-114.9899607,33.0171663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000265,2023,01/04/2023,01/10/2023,ABI Drill Machine,California,San Jose,Redwood City,* from old bayshore highway w/b on ramp - 101n - to woodside rd / seaport blvd / rte 84 west exit (seaport blvd e/b off ramp exit 408) * maple st oc over hwy 101 *,"old bayshore highway San Jose, California","old bayshore highway San Jose, California and US-101",-121.9079847,37.3689582,US-101 AND WOODSIDE RD,-122.2128795,37.4888443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000271,2023,01/03/2023,01/09/2023,13 - OFF ROAD TIRES ( STKD & E/E),California,Az Line 10,Fontana,* from az line 10 - 10w - to cherry ave exit (cherry ave s/b off ramp) *,"az line Az Line 10, California",I-10 and Arizona Line,-114.5309445,33.6047557,I-10 AND CHERRY AVE,-117.4889461,34.0660911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000272,2023,01/03/2023,01/09/2023,CONTAINER STACKER,California,Whittier,Az Line,* from santa fe springs rd - 072n - 605n - 210e - 015n - 040e - to az line 40 exit *,"santa fe springs rd Whittier, California","santa fe springs rd Whittier, California and SR-72",-118.0420986,33.9683249,SR-72 AND I-605,-118.069285,33.993431,SR-210 AND I-605,-117.957446,34.134298,I-15 AND SR-210,-117.495885,34.136374,I-15 AND I-40,-117.008954,34.886545,I-40 AND AZ LINE,-114.4878107,34.7171822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000280,2023,01/04/2023,01/10/2023,550-2 GROVE GMK 7450 TRK CRANE (WCS# 1301153),California,Corona,Oro Grande,* from hidden valley pkwy e/b on ramp - 015n - to rte 18  apple valley exit ('d' st w/b off ramp exit number 153a) *,"hidden valley pkwy Corona, California","hidden valley pkwy Corona, California and I-15",-117.5598826,33.8987324,I-15 AND SR-18,-117.3006392,34.5452523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000273,2023,01/03/2023,01/09/2023,UNLADEN,California,Nv Line,Whittier,* from nv line 178 - 178w - 127s - 015s - 210w - 605s - 072s - to santa fe springs rd exit (santa fe springs rd) *,"nv line Nv Line, California",SR-178 and Nevada Line,-116.1132488,36.1661336,SR-127 AND SR-178,-116.270383,35.972683,I-15 AND SR-127,-116.073225,35.263438,I-15 AND SR-210,-117.495885,34.136374,SR-210 AND I-605,-117.957446,34.134298,SR-72 AND I-605,-118.069285,33.993431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000267,2023,01/04/2023,01/10/2023,650 Excavator,California,Santa Clara,San Francisco,* from stevens creek blvd w/b on ramp - 280n - 380e - 101n - to grand ave/so. san francisco exit (e. grand ave e/b off ramp exit 425a) * from oyster point blvd w/b on ramp - 101n - to bayshore blvd/cow palace exit (bayshore blvd w/b off ramp) * third st oc over hwy 101 *,"stevens creek blvd Santa Clara, California","stevens creek blvd Santa Clara, California and I-280",-121.9998157,37.3230383,I-280 AND I-380,-122.4309517,37.6272684,US-101 AND I-380,-122.403327,37.634535,US-101 AND BAYSHORE BLVD,-122.3988545,37.7163226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000184,2023,01/03/2023,01/09/2023,AC HAYWARD,California,Otay Mesa,3300 Buch Road  Pleasanton,* from siempre viva rd n/b on ramp - 905w - 805n - 015n - 210w - 005n - 580w - to santa rita rd exit (santa rita rd s/b off ramp exit number 47) *,"siempre viva rd Otay Mesa, California","siempre viva rd Otay Mesa, California and SR-905",-116.9398661,32.5553926,I-805 AND SR-905,-117.0406132,32.5681478,I-15 AND I-805,-117.114120,32.738542,I-15 AND SR-210,-117.495885,34.136374,I-5 AND SR-210,-118.4903133,34.3159777,I-5 AND I-580,-121.340756,37.596558,I-580 AND SANTA RITA RD,-121.8721007,37.7014137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000277,2023,01/06/2023,01/12/2023,Washer;Eltron;800,California,Az Line,"2485 Ash St, Vista, Ca",* from az line 8 - 008w - 015n - 078w - to sycamore ave exit (sycamore ave s/b off ramp) *,"az line Az Line, California",I-8 and Arizona Line,-114.608218,32.698957,I-8 AND I-15,-117.112371,32.778595,I-15 AND SR-78,-117.351316,33.177050,SR-78 AND SYCAMORE AVE,-117.2146397,33.1670124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000281,2023,01/04/2023,01/10/2023,VOLVO 480 EXCAVATOR,California,Santa Fe Springs,Anaheim,* from slauson ave e/b on ramp - 605s - 405s - 22e - 57n - 91e - to tustin ave exit (tustin ave n/b off ramp) *,"slauson ave Santa Fe Springs, California","slauson ave Santa Fe Springs, California and I-605",-118.0833697,33.9672303,I-405 AND I-605,-118.0938338,33.7863509,SR-22 AND I-405,-118.085186,33.774544,SR-22 AND SR-57,-117.879924,33.7853374,SR-57 AND SR-91,-117.8758752,33.8498298,SR-91 AND TUSTIN AVE,-117.8380319,33.8509203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000279,2023,01/03/2023,01/09/2023,MCCLOSKEY I44R CRUSHER,California,Downey,Riverside,* from lakewood blvd s/b on ramp - 105e - 605n - 60e - to rubidoux blvd exit (rubidoux blvd n/b off ramp) *,"lakewood blvd Downey, California","lakewood blvd Downey, California and I-105",-118.1406395,33.9130928,I-105 AND I-605,-118.1048384,33.9139358,SR-60 AND I-605,-118.0272198,34.0339903,SR-60 AND RUBIDOUX BLVD,-117.4003331,34.004571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
