permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,authorizedhighways,route_location_origin,route_intersection_0,route_intersection_1,route_intersection_2,route_intersection_3,route_intersection_4,route_intersection_5,route_intersection_6,route_intersection_7,route_intersection_8,route_intersection_9,route_intersection_10,route_intersection_11,route_intersection_12,route_intersection_13,route_intersection_14,route_intersection_15,route_intersection_16,route_intersection_17,route_intersection_18,route_intersection_19,route_intersection_20,route_intersection_21,route_intersection_22,route_intersection_23,route_intersection_destination
e23-109288,2024,01/01/2024,01/07/2024,SUBMARINE,California,Upland,Redondo Beach,* from monte vista ave s/b on ramp - 010w - 605s - 105w - 405s - to artesia blvd e/b off ramp exit 40a *,"monte vista ave Upland, California",monte vista ave and I-10,I-10 and I-605,I-605 and I-105,I-105 and I-405,I-405 and artesia blvd e/b off ramp  40a,,,,,,,,,,,,,,,,,,,,I-405 and artesia blvd eb
e23-109289,2024,01/01/2024,01/07/2024,DUCTWORK Make: KIRK & BLUM Model: 518542 SN: 518542,California,Az Line,"164 West Magnolia Blvd, Burbank, Ca, 91501",* from az line 40 - 040w - 015s - 210w - 134w - 005n - to alameda ave exit (alameda ave w/b off ramp exit number 145b) *,"az line Az Line, California",az line and I-40,I-40 and I-15,I-15 and SR-210,SR-210 and SR-134,SR-134 and I-5,I-5 and alameda ave  (alameda ave w/b off ramp  number 145b),,,,,,,,,,,,,,,,,,,"I-5 and alameda ave 164 West Magnolia Blvd, Burbank, Ca, 91501"
e23-109296,2024,01/01/2024,01/07/2024,RODNEY UPPER MIIDLE LOG,California,Stockton,Tracy,* from pershing ave e/b on ramp - 005n - to eight mile rd e/b off ramp exit 481 * eight mile rd oc over 99 * eight mile rd across 88 * jack tone rd/co rd j5 across 26 * jack tone rd/co rd j-5 across 4 * from jack tone road - 120w - 099s - 120w - 005s - to tracy exit (old us 50/11th st w/b off ramp exit 458a) *,"pershing ave Stockton, California",pershing ave and I-5,I-5 and eight mile rd e/b off ramp  481 * eight mile rd oc over 99 * eight mile rd across 88 * jack tone rd/co rd j5 across 26 * jack tone rd/co rd j,eight mile rd e/b off ramp  481 * eight mile rd oc over 99 * eight mile rd across 88 * jack tone rd/co rd j5 across 26 * jack tone rd/co rd j and I-5,I-5 and SR-120,SR-120 and SR-99,SR-99 and SR-120,SR-120 and I-5,I-5 and tracy  (old us 50/11th st w/b off ramp  458a),,,,,,,,,,,,,,,,,I-5 and tracy Tracy
e23-109292,2024,01/01/2024,01/07/2024,1 Wheel Loader Make: Caterpillar Model: 938M SN: P5K04800,California,Az Line,"2200 Pegasus Dr, Bakersfield, Ca, 93308",* from az line 40 - 040w - 015s - 058w - 099n - 065n - to merle haggard dr exit (merle haggard dr) *,"az line Az Line, California",az line and I-40,I-40 and I-15,I-15 and SR-58,SR-58 and SR-99,SR-99 and SR-65,SR-65 and merle haggard dr  (merle haggard dr),,,,,,,,,,,,,,,,,,,"SR-65 and merle haggard dr 2200 Pegasus Dr, Bakersfield, Ca, 93308"
e23-109295,2024,01/01/2024,01/07/2024,BELL B45E ARTICULATING ROCK TRUCK,California,Corona,Duarte,* from indian truck trail w/b on ramp - 015n - 210w - to huntington dr n/b off ramp exit *,"indian truck trail w Corona, California",indian truck trail w and I-15,I-15 and SR-210,SR-210 and huntington dr n/b off ramp,,,,,,,,,,,,,,,,,,,,,,SR-210 and huntington dr nb
e23-109297,2024,01/01/2024,01/07/2024,BELL B40D ARTICULATING ROCK TRUCK,California,Corona,Duarte,* from indian truck trail w/b on ramp - 015n - 210w - to huntington dr n/b off ramp exit *,"indian truck trail w Corona, California",indian truck trail w and I-15,I-15 and SR-210,SR-210 and huntington dr n/b off ramp,,,,,,,,,,,,,,,,,,,,,,SR-210 and huntington dr nb
e23-109299,2024,01/01/2024,01/07/2024,MACHINE CENTER,California,Compton,Ca Line 15,* from wilmington ave n/b on ramp - 105e - 605n - 210e - 015n - to nv line 15 exit *,"wilmington ave Compton, California",wilmington ave and I-105,I-105 and I-605,I-605 and SR-210,SR-210 and I-15,I-15 and nv line 15,,,,,,,,,,,,,,,,,,,,I-15 and nv line 15 Ca Line 15
e23-109300,2024,01/01/2024,01/07/2024,MACHINE CENTER,California,Compton,Ca Line 15,* from wilmington ave n/b on ramp - 105e - 605n - 210e - 015n - to nv line 15 exit *,"wilmington ave Compton, California",wilmington ave and I-105,I-105 and I-605,I-605 and SR-210,SR-210 and I-15,I-15 and nv line 15,,,,,,,,,,,,,,,,,,,,I-15 and nv line 15 Ca Line 15
e23-109301,2024,01/01/2024,01/07/2024,DUCT/EXPANSION JOINT WITH MISC LEGAL PARTS E/E WCS#1394494,California,Arizona Line,El Segundo,* from az line 10 - 010w - to corn springs rd n/b off ramp exit # 201- detour via ramps -from corn springs rd s/b on  ramp - 010w - to indian canyon dr n/b off ramp exit # 120) ** from dillon rd - 062w - 010w - 215n - 210w - 605s - 105w - 001s - to el segundo blvd exit *,"az line Arizona Line, California",az line and I-10,I-10 and corn springs rd n/b off ramp  # 201,corn springs rd n/b off ramp  # 201 and detour via ramps,detour via ramps and corn springs rd s/b on  ramp,corn springs rd s/b on  ramp and I-10,I-10 and indian canyon dr n/b off ramp  # 120) ** from dillon rd,indian canyon dr n/b off ramp  # 120) ** from dillon rd and SR-62,SR-62 and I-10,I-10 and I-215,I-215 and SR-210,SR-210 and I-605,I-605 and I-105,I-105 and SR-1,SR-1 and el segundo blvd,,,,,,,,,,,SR-1 and el segundo blvd El Segundo
e23-109304,2024,01/01/2024,01/07/2024,EMPTY STEEL TANK,California,Fresno,Or Line 5,* from shaw ave w/b on ramp - 099n - 120w - 005n - to or line 5 exit *,"shaw ave Fresno, California",shaw ave and SR-99,SR-99 and SR-120,SR-120 and I-5,I-5 and or line 5,,,,,,,,,,,,,,,,,,,,,I-5 and or line 5 Or Line 5
