dataperiods,modeoftravel,zoneid,zonename,linezonelength(miles),zoneispass-through,zonedirection(degrees),zoneisbi-direction,daytype,daypart,averagedailysegmenttraffic(stlvolume),avgsegmentspeed(mph),avgsegmenttraveltime(sec),freeflowspeed(mph),freeflowfactor,vehiclemilesoftravel(stlvolume),vehiclehoursofdelay(stlvolume),5thspeedpercentile,10thspeedpercentile,15thspeedpercentile,20thspeedpercentile,25thspeedpercentile,30thspeedpercentile,35thspeedpercentile,40thspeedpercentile,45thspeedpercentile,50thspeedpercentile,55thspeedpercentile,60thspeedpercentile,65thspeedpercentile,70thspeedpercentile,75thspeedpercentile,80thspeedpercentile,85thspeedpercentile,90thspeedpercentile,95thspeedpercentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1293218,0.413,yes,16,no,0: All Days (M-Su),0: All Day (12am-12am),100512,61,24,72.687,0.841,41506.3,107.66,24,36,47,53,56,59,61,63,64,65,67,68,69,70,72,73,74,76,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1293218,0.413,yes,16,no,1: Weekday (M-Th),0: All Day (12am-12am),98934,58,26,72.687,0.793,40854.8,146.52,20,29,37,45,50,54,56,59,61,63,64,66,67,68,70,71,73,75,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1293218,0.413,yes,16,no,2: Weekend (Sa-Su),0: All Day (12am-12am),97698,68,22,72.687,0.94,40344.5,35.57,55,59,61,63,64,65,66,67,68,69,70,71,72,73,74,75,76,78,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1293619,0.503,yes,168,no,0: All Days (M-Su),0: All Day (12am-12am),103346,68,27,74.897,0.909,51996.8,69.71,52,56,58,60,62,64,65,67,68,69,70,71,72,74,75,76,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1293619,0.503,yes,168,no,1: Weekday (M-Th),0: All Day (12am-12am),105660,67,27,74.897,0.9,53160.7,79.15,51,55,57,60,62,63,65,66,67,69,70,71,72,73,74,75,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1293619,0.503,yes,168,no,2: Weekend (Sa-Su),0: All Day (12am-12am),91642,70,26,74.897,0.93,46107.9,46.14,54,58,60,62,64,66,67,68,69,71,72,73,74,75,76,77,79,80,83
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1300131,0.34,yes,236,no,0: All Days (M-Su),0: All Day (12am-12am),115767,62,20,72.896,0.845,39409.7,98.9,28,39,48,53,56,58,60,62,63,65,66,68,69,70,72,73,75,77,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1300131,0.34,yes,236,no,1: Weekday (M-Th),0: All Day (12am-12am),114433,59,21,72.896,0.815,38955.6,121.19,26,36,44,49,53,55,57,59,61,63,64,66,67,69,70,72,74,76,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1300131,0.34,yes,236,no,2: Weekend (Sa-Su),0: All Day (12am-12am),112816,67,18,72.896,0.918,38405.3,46.82,44,55,58,61,62,64,65,66,67,69,70,71,72,73,74,76,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13288653,0.643,yes,334,no,0: All Days (M-Su),0: All Day (12am-12am),99353,66,35,73.92,0.887,63864.4,109.7,45,51,55,57,59,61,63,64,66,67,69,70,71,72,74,75,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13288653,0.643,yes,334,no,1: Weekday (M-Th),0: All Day (12am-12am),102540,64,36,73.92,0.872,65912.8,131.35,42,49,53,56,58,60,62,63,65,66,68,69,70,72,73,75,76,78,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13288653,0.643,yes,334,no,2: Weekend (Sa-Su),0: All Day (12am-12am),86561,68,34,73.92,0.925,55641.5,60.79,53,56,59,61,63,64,66,67,68,69,70,72,73,74,75,76,78,79,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 13303859,0.163,yes,357,no,0: All Days (M-Su),0: All Day (12am-12am),108969,64,9,71.935,0.893,17740.1,29.4,50,54,56,57,59,60,61,63,64,65,66,67,68,69,70,72,73,75,78
