location,traditional_ahead_mean,traditional_behind_mean,traditional_aadt,non_trad_ahead_mean,non_trad_behind_mean,non_trad_aadt,stl_ahead_rows,stl_behind_rows,listed_ahead_segments,listed_behind_segments,present_ahead_segments,present_behind_segments,ahead_zones,behind_zones,missing_ahead_zones,missing_behind_zones,daytype,daytype_expected,daytype_used,daypart_used,modeoftravel_used,objectids,n_objectids,n_found_in_tc,tce_percent
RIEGO ROAD,47000.0,47000.0,47000.0,,,24288.5,1,1,2,2,1,1,CA 99 / 15435840|Golden State Highway / 14677099,CA 99 / 10478428|Golden State Highway / 17457767,CA 99 / 15435840,CA 99 / 10478428,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7799,1,1,-48.32234042553191
"SACRAMENTO, 12TH AVENUE",190000.0,180000.0,185000.0,,,94754.5,1,1,1,1,1,1,South Sacramento Freeway / 193828,South Sacramento Freeway / 192822,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7788,1,1,-48.781351351351354
"SACRAMENTO, FRUITRIDGE ROAD",180000.0,182000.0,181000.0,,,184440.0,2,2,2,2,2,2,South Sacramento Freeway / 192818|South Sacramento Freeway / 192822,South Sacramento Freeway / 5306321|South Sacramento Freeway / 20029922,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7785,1,1,1.9005524861878453
"SACRAMENTO, MACK ROAD",176000.0,176000.0,176000.0,,,151734.5,2,2,2,2,2,2,South Sacramento Freeway / 189284|South Sacramento Freeway / 189279,South Sacramento Freeway / 189275|South Sacramento Freeway / 11496158,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7777,1,1,-13.787215909090909
SHELDON ROAD,122000.0,134000.0,128000.0,,,130401.0,2,2,2,2,2,2,South Sacramento Freeway / 189132|South Sacramento Freeway / 189188,South Sacramento Freeway / 188301|South Sacramento Freeway / 188302,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7767,1,1,1.87578125
WALNUT STREET CONNECTION,76000.0,77000.0,76500.0,,,77710.5,2,2,2,2,2,2,South Sacramento Freeway / 10980774|South Sacramento Freeway / 9947991,South Sacramento Freeway / 22215110|South Sacramento Freeway / 9947994,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7749,1,1,1.5823529411764705
"YUBA CITY, BRIDGE STREET",35000.0,35500.0,35250.0,,,33172.5,1,1,1,1,1,1,CA 99 / 683549,CA 99 / 1303764,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7821,1,1,-5.8936170212765955
"YUBA CITY, JCT. RTE. 20",22200.0,32500.0,27350.0,,,27698.5,2,2,2,2,2,2,CA 99 / 185054|CA 99 / 694163,CA 99 / 70537|CA 99 / 71210,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7825,1,1,1.2742230347349177
"YUBA CITY, LINCOLN ROAD",22200.0,21800.0,22000.0,,,29886.0,1,1,1,1,1,1,CA 99 / 693786,CA 99 / 69539,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7817,1,1,35.845454545454544
"YUBA CITY, QUEENS AVENUE",22100.0,22200.0,22150.0,,,21656.5,2,2,2,2,2,2,CA 99 / 19182490|CA 99 / 19885831,CA 99 / 694163|CA 99 / 185054,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7827,1,1,-2.2279909706546275
