ID,DIST,CO,RTE,PFX,BEGPM,PFX,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
95,2,SIS,5,R,40,R,41,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50,X,,,,,X,,,,,100,75
96,2,SIS,5,R,41,R,42,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50,,X,,,,X,,,,,75,63
97,2,SIS,5,R,42,R,43,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88
98,2,SIS,5,R,43,R,44,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75,X,,,,,X,,,,,100,88
99,2,SIS,5,R,44,R,45,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75,X,,,,,X,,,,,100,88
100,2,SIS,5,R,45,R,46,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
101,2,SIS,5,R,46,R,47,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
102,2,SIS,5,R,47,R,48,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
103,2,SIS,5,R,48,R,49,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75,,X,,,,,X,,,,50,63
104,2,SIS,5,R,49,R,50,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,,X,,,,75,,X,,,,X,,,,,75,75
105,2,SIS,5,R,50,R,51,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
106,2,SIS,5,R,51,R,52,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
107,2,SIS,5,R,52,R,53,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75,,X,,,,X,,,,,75,75
108,2,SIS,5,R,53,R,54,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50,,X,,,,X,,,,,75,63
109,2,SIS,5,R,54,R,55,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
110,2,SIS,5,R,55,R,56,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
111,2,SIS,5,R,56,R,57,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
112,2,SIS,5,R,57,R,58,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88
113,2,SIS,5,R,58,R,59,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75,X,,,,,X,,,,,100,88
114,2,SIS,5,R,59,R,60,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75,X,,,,,X,,,,,100,88
115,2,SIS,5,R,60,R,61,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
116,2,SIS,5,R,61,R,62,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50,,X,,,,,X,,,,50,50
117,2,SIS,5,R,62,R,63,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,,X,,,,50,,X,,,,,X,,,,50,50
118,2,SIS,5,R,63,R,64,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,,X,,,,75,88
119,2,SIS,5,R,64,R,65,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
120,2,SIS,5,R,65,R,66,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,,X,,,,75,88
121,2,SIS,5,R,66,R,67,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
122,2,SIS,5,R,67,R,68,1,,2,District 2 - Field Region,District 2 - Field Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75,,X,,,,,X,,,,50,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2,TEH,5,R,0,R,1,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
124,2,TEH,5,R,1,R,2,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
125,2,TEH,5,R,2,R,3,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
126,2,TEH,5,R,3,R,4,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
127,2,TEH,5,R,4,R,5,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
128,2,TEH,5,R,5,R,6,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
129,2,TEH,5,R,6,R,7,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
130,2,TEH,5,R,7,R,8,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88
131,2,TEH,5,R,8,R,9,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
132,2,TEH,5,R,9,R,10,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
133,2,TEH,5,R,10,R,11,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88
134,2,TEH,5,R,11,R,12,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
135,2,TEH,5,R,12,R,13,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
136,2,TEH,5,R,13,R,14,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
137,2,TEH,5,R,14,R,15,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
138,2,TEH,5,R,15,R,16,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
139,2,TEH,5,R,16,R,17,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
140,2,TEH,5,R,17,R,18,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
141,2,TEH,5,R,18,R,19,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
142,2,TEH,5,R,19,R,20,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
143,2,TEH,5,R,20,R,21,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
144,2,TEH,5,R,21,R,22,1,,2,District 2 - Field Region,District 2 - Field Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
