,ID,DIST,CO,RTE,PF1,BEGPM,PF1.1,ENDPM,Length,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
68,67.0,3.0,SAC,5.0,,5.0,,6.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1.0,,,,75.0,,,X,,,,X,,,,25.0,50.0
69,68.0,3.0,SAC,5.0,,6.0,,7.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1.0,,,,75.0,,X,,,,,,X,,,25.0,50.0
70,69.0,3.0,SAC,5.0,,7.0,,8.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1.0,,,,,1.0,,,,50.0,,X,,,,,,X,,,25.0,38.0
71,70.0,3.0,SAC,5.0,,8.0,,9.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1.0,,,,,,1,,,25.0,X,,,,,,,X,,,50.0,38.0
72,71.0,3.0,SAC,5.0,,9.0,,10.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1.0,,,,75.0,X,,,,,X,,,,,100.0,88.0
73,72.0,3.0,SAC,5.0,,10.0,,11.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1.0,,,,,1.0,,,,50.0,X,,,,,,X,,,,75.0,63.0
74,73.0,3.0,SAC,5.0,,11.0,,12.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100.0,X,,,,,X,,,,,100.0,100.0
75,74.0,3.0,SAC,5.0,,12.0,,13.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1.0,,,,1,,,,,75.0,X,,,,,X,,,,,100.0,88.0
76,75.0,3.0,SAC,5.0,,13.0,,14.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100.0,X,,,,,X,,,,,100.0,100.0
77,76.0,3.0,SAC,5.0,,14.0,,15.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1.0,,,,75.0,X,,,,,X,,,,,100.0,88.0
