HQ Id,District/LOS,CO,RTE,Prefi1,BPM,Prefi1,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments", District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
160,11,SD,163,,10,,11,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,11,SD,805,,0,,1,SoCst-5,FY23/Q3,,,x,,,,x,,,x,25,,X,,,X,,X,,,X,50,38
162,11,SD,805,,1,,2,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
163,11,SD,805,,2,,3,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
164,11,SD,805,,3,,4,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
165,11,SD,805,,4,,5,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
166,11,SD,805,,6,,7,SoCst-5,FY23/Q3,,,x,,,,x,,,,25,,X,,,,,X,,,,50,38
167,11,SD,805,,7,,8,SoCst-5,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50
168,11,SD,805,,8,,9,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,,,X,,,,50,63
169,11,SD,805,,9,,10,SoCst-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,,X,,,,75,75
170,11,SD,805,,10,,11,SoCst-5,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,X,50,50
171,11,SD,805,,12,,13,SoCst-5,FY23/Q3,,x,,,,,x,,,,50,X,,,,,,X,,,,75,63
172,11,SD,805,,13,,14,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
173,11,SD,805,,14,,15,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
174,11,SD,805,,15,,16,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,X,75,88
175,11,SD,805,,16,,17,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,,X,,,X,,X,,,X,50,75
