,ID,DIST,CO,RTE,PFX,BEGPM,PFX.1,ENDPM,Length,HG,MAINT_DIST,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",Average LOS score
188,202.0,6.0,MAD,99.0,,27.0,,28.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0
189,203.0,6.0,TUL,99.0,,24.0,,25.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
190,204.0,6.0,TUL,99.0,,25.0,,26.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
191,205.0,6.0,TUL,99.0,,26.0,,27.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
192,206.0,6.0,TUL,99.0,,27.0,,28.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
193,207.0,6.0,TUL,99.0,,28.0,,29.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
194,208.0,6.0,TUL,99.0,,29.0,,30.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
196,212.0,6.0,TUL,198.0,,6.0,,7.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
197,213.0,6.0,TUL,198.0,,7.0,,8.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,,X,,,,,X,,,,50.0
198,214.0,6.0,TUL,198.0,R,8.0,R,9.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,,X,,,,X,,,,,75.0
199,215.0,6.0,TUL,198.0,R,9.0,R,10.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,,X,,,,X,,,,,75.0
200,216.0,6.0,TUL,198.0,R,10.0,R,11.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,,,X,,,X,,,,,50.0
201,217.0,6.0,TUL,198.0,R,11.0,R,12.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,,X,,,,75.0
202,218.0,6.0,TUL,198.0,R,12.0,R,13.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
203,219.0,6.0,TUL,198.0,R,13.0,R,14.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
204,220.0,6.0,TUL,198.0,R,14.0,R,15.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
205,221.0,6.0,TUL,198.0,R,15.0,R,16.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
