ID,CO,RTE,REGION ZONE,Prefix,BPM,Prefix,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
82,LA,5,InVal-5,,21,,22,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,X,75,75
83,LA,5,InVal-5,,22,,23,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
84,LA,5,InVal-5,,23,,24,,FY23/Q3,,1,,,,1,,,,,75,,X,,,X,X,,,,,75,75
85,LA,5,InVal-5,,24,,25,,FY23/Q3,1,,,,,,1,,,,75,,X,,,,X,,,,,75,75
86,LA,5,InVal-5,,25,,26,,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75
87,LA,5,InVal-5,,26,,27,,FY23/Q3,,1,,,,,1,,,,50,,X,,,,X,,,,,75,63
88,LA,5,InVal-5,,27,,28,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
89,LA,5,InVal-5,,28,,29,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
90,LA,5,InVal-5,,29,,30,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
91,LA,5,InVal-5,,30,,31,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
92,LA,5,InVal-5,,31,,32,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
93,LA,5,InVal-5,,32,,33,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
94,LA,5,InVal-5,,33,,34,,FY23/Q3,,1,,,UNSHELTERED,,1,,,UNSHELTERED,50,,,X,,X,X,,,,,50,50
95,LA,5,InVal-5,,34,,35,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,X,50,75
96,LA,5,InVal-5,,35,,36,,FY23/Q3,,1,,,UNSHELTERED,,1,,,UNSHELTERED,50,,,X,,X,,X,,,X,25,38
97,LA,5,InVal-5,,36,,37,,FY23/Q3,1,,,,,1,,,,,100,,X,,,X,,X,,,,50,75
98,LA,5,InVal-5,,37,,38,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
99,LA,5,InVal-5,,38,,39,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
100,LA,5,InVal-5,,39,,40,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
101,LA,5,InVal-5,,40,,41,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
102,LA,5,InVal-5,,41,,42,,FY23/Q3,,1,,,,1,,,,,75,,X,,,X,,X,,,,50,63
103,LA,5,InVal-5,,42,,43,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
104,LA,5,InVal-5,,43,R,44,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
105,LA,5,InVal-5,R,44,R,45,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
106,LA,5,InVal-5,R,45,R,46,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,LA,10,InVal-5,R,7,,8,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
109,LA,10,InVal-5,R,8,,9,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
110,LA,10,InVal-5,,9,,10,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
111,LA,10,InVal-5,,10,,11,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
112,LA,10,InVal-5,,11,,12,,FY23/Q3,,1,,,,1,,,,,75,,X,,,X,,X,,,X,50,63
113,LA,10,InVal-5,,12,,13,,FY23/Q3,1,,,,,1,,,,,100,,X,,,X,,X,,,,50,75
114,LA,10,InVal-5,,13,,14,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
115,LA,10,InVal-5,,14,,15,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
116,LA,10,InVal-5,,15,,16,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
