ID,DIST,CO,RTE,Prefix,BPM,Prefix,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
113,4,CC,680,,1,,2,InVal-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88
114,4,CC,680,,3,,4,InVal-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
115,4,CC,680,,4,,5,InVal-5,FY23/Q3,x,,,,,x,,,,,100,,X,,,,X,,,,,75,88
116,4,CC,680,,5,R,6,InVal-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
117,4,CC,680,,13,,14,InVal-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
118,4,CC,680,,14,,15,InVal-5,FY23/Q3,,,x,,,x,,,,,50,,X,,,,,X,,,,50,50
119,4,CC,680,,15,,16,InVal-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
120,4,CC,680,,16,,17,InVal-5,FY23/Q3,x,,,,,,x,,,,75,,X,,,,,X,,,,50,63
121,4,CC,680,R,18,,19,InVal-5,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50
122,4,CC,680,,19,,20,InVal-5,FY23/Q3,x,,,,,,x,,,,75,,,X,,X,,X,,,X,25,50
123,4,CC,680,,20,,21,InVal-5,FY23/Q3,,,x,,,x,,,,,50,,,X,,X,,,X,,,0,25
124,4,CC,680,,21,,22,InVal-5,FY23/Q3,,,x,,,,x,,,,25,,,X,,,,,X,,,0,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,4,MRN,101,,0,,1,LoMt-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
126,4,MRN,101,,1,,2,LoMt-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
127,4,MRN,101,,2,,3,LoMt-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
128,4,MRN,101,,5,,6,LoMt-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
129,4,MRN,101,,6,,7,LoMt-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
130,4,MRN,101,,7,,8,LoMt-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
131,4,MRN,101,,9,,10,LoMt-5,FY23/Q3,,x,,,,,x,,,,50,X,,,,,X,,,,,100,75
132,4,MRN,101,,10,,11,LoMt-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88
133,4,MRN,101,,11,,12,LoMt-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88
134,4,MRN,101,,12,,13,LoMt-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
135,4,MRN,101,,13,,14,LoMt-5,FY23/Q3,x,,,,,x,,,,,100,,X,,,X,X,,,,,75,88
136,4,MRN,101,,17,,18,LoMt-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
137,4,MRN,101,,18,,19,LoMt-5,FY23/Q3,,x,,,,,x,,,,50,X,,,,,X,,,,,100,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,4,MRN,580,,3,,4,LoMt-4,FY23/Q3,,x,,,,,x,,,,50,X,,,,,X,,,,,100,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,4,SCL,17,,0,,1,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
142,4,SCL,17,,1,,2,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
143,4,SCL,17,,2,,3,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
144,4,SCL,17,,3,,4,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
145,4,SCL,17,,4,,5,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
146,4,SCL,17,,6,,7,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
147,4,SCL,17,,7,,8,NoCst-4,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
148,4,SCL,17,,8,,9,NoCst-4,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50
149,4,SCL,17,,9,,10,NoCst-4,FY23/Q3,,x,,,,x,,,,,75,,,X,,,,,X,,,0,38
150,4,SCL,17,,10,,11,NoCst-4,FY23/Q3,,x,,,,x,,,,,75,,,X,,X,,X,,,,25,50
151,4,SCL,17,,11,,12,NoCst-4,FY23/Q3,,x,,,,x,,,,,75,X,,,,,,,X,,,50,63
152,4,SCL,17,,12,,13,NoCst-4,FY23/Q3,,,x,,,,x,,,,25,X,,,,,X,,,,,100,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,4,SCL,85,,2,,3,NoCst-5,FY23/Q3,,,x,,,x,,,,,50,,X,,,,X,,,,,75,63
154,4,SCL,85,,3,,4,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
155,4,SCL,85,,4,,5,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
156,4,SCL,85,,6,,7,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
157,4,SCL,85,,7,,8,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
158,4,SCL,85,,8,,9,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
159,4,SCL,85,,9,,10,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,,X,,,X,75,75
160,4,SCL,85,R,11,,12,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
161,4,SCL,85,,12,,13,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88
162,4,SCL,85,,13,,14,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,X,,,,,X,,,,,100,75
163,4,SCL,85,,14, ,15,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
164,4,SCL,85, ,15,R,16,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
165,4,SCL,85,R,17,,18,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
166,4,SCL,85,,18,,19,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
167,4,SCL,85,,19,,20,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
168,4,SCL,85,,20,,21,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
169,4,SCL,85,,21,,22,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
170,4,SCL,85, ,22,R,23,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,4,SCL,87,,1,,2,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,,,X,,,,,X,,,0,38
