ID,DIST,CO,RTE,PFX,BEGPM,PFX,ENDPM,Length,HG,MAINT_DIST,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",Average LOS score
190,6,MAD,99,,14,,15,1,,6,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100
191,6,MAD,99,,15,,16,1,,6,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100
192,6,MAD,99,,16,,17,1,,6,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,,x,,,,75
193,6,MAD,99,R,18,R,19,1,,6,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100
194,6,MAD,99,R,19,R,20,1,,6,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50
195,6,MAD,99,R,20,,21,1,,6,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100
196,6,MAD,99,,21,,22,1,,6,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100
197,6,MAD,99,,22,,23,1,,6,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100
198,6,MAD,99,,23,,24,1,,6,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75
199,6,MAD,99,,24,,25,1,,6,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100
200,6,MAD,99,,25,,26,1,,6,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,,x,,,,75
201,6,MAD,99,,26,,27,1,,6,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100
202,6,MAD,99,,27,,28,1,,6,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75
203,6,TUL,99,,24,,25,1,,6,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
204,6,TUL,99,,25,,26,1,,6,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
