ID,DIST,CO,RTE,PFX,BEGPM,PREFIX,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
146,10,SJ,205,R,5,R,6,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,,1,,1,50,,X,,,,,X,,,,50,50
147,10,SJ,205,R,6,R,7,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,1,,1,,,,50,,X,,,,,,X,,,25,38
148,10,SJ,205,R,7,R,8,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,,X,,,,,,X,,,25,38
149,10,SJ,205,R,8,R,9,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,,X,,,,,,X,,,25,50
150,10,SJ,205,R,9,R,10,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,,X,,,,,X,,,,50,63
151,10,SJ,205,R,10,R,11,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,,X,,,,,,X,,,25,50
152,10,SJ,205,R,11,R,12,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,,X,,,,,X,,,,50,50
153,10,SJ,205,R,12,R,13,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,,,X,,,X,,,,,50,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,10,SJ,580,,0,,1,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
