ID,DIST,CO,RTE,PFX,BEGPM,PFX.1,ENDPM,Length,HG,MAINT_DIST,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",Average LOS score
90.0,6.0,KER,5.0,,7.0,,8.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,X,,,,,100.0
91.0,6.0,KER,5.0,,8.0,,9.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,X,,,,,100.0
92.0,6.0,KER,5.0,,9.0,,10.0,1.0,,7.0,District 7 - North Region,HiMt-4,FY23/Q3,X,,,,,X,,,,,100.0
93.0,6.0,KER,5.0,,10.0,,11.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
94.0,6.0,KER,5.0,,11.0,,12.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
95.0,6.0,KER,5.0,,12.0,,13.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,,X,,,,75.0
96.0,6.0,KER,5.0,,13.0,,14.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
97.0,6.0,KER,5.0,,14.0,,15.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
99.0,6.0,KER,58.0,R,54.0,R,55.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
100.0,6.0,KER,58.0,R,55.0,R,56.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
101.0,6.0,KER,58.0,R,56.0,R,57.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
102.0,6.0,KER,58.0,R,57.0,R,58.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
103.0,6.0,KER,58.0,R,58.0,R,59.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
104.0,6.0,KER,58.0,R,59.0,R,60.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
105.0,6.0,KER,58.0,R,60.0,R,61.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
106.0,6.0,KER,58.0,R,61.0,R,62.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
107.0,6.0,KER,58.0,R,62.0,R,63.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
108.0,6.0,KER,58.0,R,63.0,R,64.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
109.0,6.0,KER,58.0,R,64.0,R,65.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
110.0,6.0,KER,58.0,R,65.0,R,66.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
111.0,6.0,KER,58.0,R,66.0,,67.0,1.0,,6.0,District 6 - South Region,InVal-3,FY23/Q3,X,,,,,X,,,,,100.0
122.0,6.0,KER,99.0,,25.0,,26.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
123.0,6.0,KER,99.0,,26.0,,27.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
124.0,6.0,KER,99.0,,27.0,,28.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
125.0,6.0,KER,99.0, ,28.0,,29.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
126.0,6.0,KER,99.0,R,29.0,R,30.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
127.0,6.0,KER,99.0,R,30.0,R,31.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
128.0,6.0,KER,99.0,R,31.0,,32.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
129.0,6.0,KER,99.0,,32.0,,33.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
130.0,6.0,KER,99.0,,33.0,,34.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
131.0,6.0,KER,99.0,,34.0,,35.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
132.0,6.0,KER,99.0,,48.0,,49.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,,X,,,,75.0
133.0,6.0,KER,99.0,,49.0,,50.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,,X,,,,75.0
134.0,6.0,KER,99.0,,50.0,,51.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,,,X,,,X,,,,,50.0
135.0,6.0,KER,99.0,,51.0,,52.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,,X,,,,X,,,,,75.0
136.0,6.0,KER,99.0,,52.0,,53.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,,,X,,,X,,,,,50.0
137.0,6.0,KER,99.0,,53.0,,54.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,X,,,,,,,X,,,50.0
138.0,6.0,KER,99.0,,54.0,,55.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,,,X,,,X,,,,,50.0
139.0,6.0,KER,99.0,,55.0,,56.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,,,X,,,X,,,,,50.0
140.0,6.0,KER,99.0,,56.0,,57.0,1.0,,6.0,District 6 - South Region,InVal-4,FY23/Q3,,,X,,,X,,,,,50.0
141.0,6.0,KIN,41.0,,16.0,,17.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
142.0,6.0,KIN,41.0,,17.0,,18.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
143.0,6.0,KIN,41.0,,18.0,,19.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
144.0,6.0,KIN,41.0,,19.0,,20.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
145.0,6.0,KIN,41.0,,20.0,,21.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
146.0,6.0,KIN,41.0,,21.0,,22.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
